ResponseId,Q1_1,Q1_2,Q1_3,Q1_4,Q1_5,Q1_6,Q1_7,Q1_8,Q1_9,Q1_10,Q1_11,A1_1,A1_2,A1_3,A1_4,A1_5,A1_6,A1_7,A1_8,A1_9,A1_10,A1_11,Q2_1,Q2_2,Q2_3,Q2_4,Q2_5,Q2_6,Q2_7,Q2_8,Q2_9,Q2_10,Q2_11,A2_1,A2_2,A2_3,A2_4,A2_5,A2_6,A2_7,A2_8,A2_9,A2_10,A2_11
1001,Parent's Completion of Required Services,Parent's Race/Ethnicity,Child's Amount of Time in Foster Care,Parent's Education,Reason Child Entered Foster Care,Child's Age,Parent's Level of Family / Community Support,Parent,Parent's Age,Parent's Financial Situation,Parent's Attendance at Visits with Child,25%,Non-Hispanic White,> 5 Years,Graduated College,"Environment Injurious (e.g., home was overcrowded, unclean, infested with pests or rodents, lacks a stove or furniture, or allows ready access to unsafe toxic chemicals)",10-14 Years,SOME support,Mother,45 Years,Working and DOES NOT NEED public assistance to afford necessities,0%,Parent's Completion of Required Services,Parent's Race/Ethnicity,Child's Amount of Time in Foster Care,Parent's Education,Reason Child Entered Foster Care,Child's Age,Parent's Level of Family / Community Support,Parent,Parent's Age,Parent's Financial Situation,Parent's Attendance at Visits with Child,0%,African American or Black,> 5 Years,Graduated College,"Inadequate Food, Shelter, or Clothing",10-14 Years,NO support,Mother,35 Years,Working and NEEDS public assistance to afford necessities,0%
1002,Parent,Child's Amount of Time in Foster Care,Parent's Age,Child's Age,Parent's Level of Family / Community Support,Parent's Financial Situation,Parent's Attendance at Visits with Child,Parent's Completion of Required Services,Reason Child Entered Foster Care,Parent's Race/Ethnicity,Parent's Education,Father,> 5 Years,55 Years,5-9 Years,A LOT of support,Working and NEEDS public assistance to afford necessities,75%,75%,"Inadequate Food, Shelter, or Clothing",Asian,Some High School,Parent,Child's Amount of Time in Foster Care,Parent's Age,Child's Age,Parent's Level of Family / Community Support,Parent's Financial Situation,Parent's Attendance at Visits with Child,Parent's Completion of Required Services,Reason Child Entered Foster Care,Parent's Race/Ethnicity,Parent's Education,Mother,< 1 Year,55 Years,15-17 Years,SOME support,NOT working and DOES NOT NEED public assistance to afford necessities,50%,100%,Child Witnessed Domestic Violence in the Home (Parent was the victim),Asian,Some High School
1003,Reason Child Entered Foster Care,Parent's Education,Parent's Attendance at Visits with Child,Parent's Financial Situation,Parent's Completion of Required Services,Parent's Age,Parent's Level of Family / Community Support,Child's Age,Parent's Race/Ethnicity,Child's Amount of Time in Foster Care,Parent,"Environment Injurious (e.g., home was overcrowded, unclean, infested with pests or rodents, lacks a stove or furniture, or allows ready access to unsafe toxic chemicals)",Some College,50%,Working and DOES NOT NEED public assistance to afford necessities,25%,35 Years,A LOT of support,< 5 Years,Native American,3-5 Years,Mother,Reason Child Entered Foster Care,Parent's Education,Parent's Attendance at Visits with Child,Parent's Financial Situation,Parent's Completion of Required Services,Parent's Age,Parent's Level of Family / Community Support,Child's Age,Parent's Race/Ethnicity,Child's Amount of Time in Foster Care,Parent,"Inadequate Food, Shelter, or Clothing",Some High School,25%,Working and DOES NOT NEED public assistance to afford necessities,50%,25 Years,SOME support,< 5 Years,Native American,1-3 Years,Mother
1004,Reason Child Entered Foster Care,Parent's Completion of Required Services,Child's Amount of Time in Foster Care,Parent's Attendance at Visits with Child,Child's Age,Parent's Level of Family / Community Support,Parent's Education,Parent's Age,Parent,Parent's Race/Ethnicity,Parent's Financial Situation,Parental Substance Misuse (drugs/alcohol),50%,< 1 Year,50%,15-17 Years,NO support,Some High School,35 Years,Mother,Native American,NOT working and NEEDS public assistance to afford necessities,Reason Child Entered Foster Care,Parent's Completion of Required Services,Child's Amount of Time in Foster Care,Parent's Attendance at Visits with Child,Child's Age,Parent's Level of Family / Community Support,Parent's Education,Parent's Age,Parent,Parent's Race/Ethnicity,Parent's Financial Situation,"Inadequate Food, Shelter, or Clothing",75%,1-3 Years,50%,15-17 Years,SOME support,Graduated College,45 Years,Mother,Native American,Working and NEEDS public assistance to afford necessities
1005,Child's Age,Parent's Level of Family / Community Support,Parent,Parent's Race/Ethnicity,Child's Amount of Time in Foster Care,Parent's Completion of Required Services,Parent's Financial Situation,Reason Child Entered Foster Care,Parent's Age,Parent's Attendance at Visits with Child,Parent's Education,5-9 Years,A LOT of support,Father,Hispanic or Latino,3-5 Years,50%,Working and NEEDS public assistance to afford necessities,"Inadequate Food, Shelter, or Clothing",35 Years,100%,Some College,Child's Age,Parent's Level of Family / Community Support,Parent,Parent's Race/Ethnicity,Child's Amount of Time in Foster Care,Parent's Completion of Required Services,Parent's Financial Situation,Reason Child Entered Foster Care,Parent's Age,Parent's Attendance at Visits with Child,Parent's Education,< 5 Years,SOME support,Father,Non-Hispanic White,< 1 Year,75%,Working and DOES NOT NEED public assistance to afford necessities,Inadequate Supervision,35 Years,50%,Some High School
1006,Parent's Race/Ethnicity,Reason Child Entered Foster Care,Parent's Financial Situation,Parent's Age,Parent's Attendance at Visits with Child,Parent's Level of Family / Community Support,Child's Amount of Time in Foster Care,Child's Age,Parent's Education,Parent's Completion of Required Services,Parent,Hispanic or Latino,"Inadequate Food, Shelter, or Clothing",NOT working and DOES NOT NEED public assistance to afford necessities,45 Years,75%,SOME support,3-5 Years,5-9 Years,Graduated High School,0%,Father,Parent's Race/Ethnicity,Reason Child Entered Foster Care,Parent's Financial Situation,Parent's Age,Parent's Attendance at Visits with Child,Parent's Level of Family / Community Support,Child's Amount of Time in Foster Care,Child's Age,Parent's Education,Parent's Completion of Required Services,Parent,African American or Black,"Inadequate Food, Shelter, or Clothing",Working and DOES NOT NEED public assistance to afford necessities,25 Years,100%,SOME support,< 1 Year,5-9 Years,Some High School,25%,Mother
1007,Parent,Parent's Age,Parent's Attendance at Visits with Child,Parent's Level of Family / Community Support,Reason Child Entered Foster Care,Child's Amount of Time in Foster Care,Child's Age,Parent's Financial Situation,Parent's Education,Parent's Completion of Required Services,Parent's Race/Ethnicity,Father,25 Years,0%,A LOT of support,"Inadequate Food, Shelter, or Clothing",1-3 Years,15-17 Years,NOT working and NEEDS public assistance to afford necessities,Some College,50%,Native American,Parent,Parent's Age,Parent's Attendance at Visits with Child,Parent's Level of Family / Community Support,Reason Child Entered Foster Care,Child's Amount of Time in Foster Care,Child's Age,Parent's Financial Situation,Parent's Education,Parent's Completion of Required Services,Parent's Race/Ethnicity,Father,35 Years,25%,NO support,Inadequate Supervision,> 5 Years,10-14 Years,NOT working and DOES NOT NEED public assistance to afford necessities,Graduated College,0%,Hispanic or Latino
1008,Reason Child Entered Foster Care,Parent's Completion of Required Services,Parent's Age,Parent's Race/Ethnicity,Parent's Financial Situation,Child's Amount of Time in Foster Care,Parent's Education,Child's Age,Parent's Attendance at Visits with Child,Parent,Parent's Level of Family / Community Support,Child Witnessed Domestic Violence in the Home (Parent was the victim),75%,45 Years,Asian,NOT working and DOES NOT NEED public assistance to afford necessities,> 5 Years,Some College,< 5 Years,0%,Mother,A LOT of support,Reason Child Entered Foster Care,Parent's Completion of Required Services,Parent's Age,Parent's Race/Ethnicity,Parent's Financial Situation,Child's Amount of Time in Foster Care,Parent's Education,Child's Age,Parent's Attendance at Visits with Child,Parent,Parent's Level of Family / Community Support,Inadequate Supervision,75%,25 Years,Non-Hispanic White,Working and NEEDS public assistance to afford necessities,> 5 Years,Graduated College,< 5 Years,0%,Mother,A LOT of support
1009,Child's Age,Child's Amount of Time in Foster Care,Parent's Completion of Required Services,Parent,Parent's Education,Parent's Age,Parent's Level of Family / Community Support,Parent's Financial Situation,Reason Child Entered Foster Care,Parent's Attendance at Visits with Child,Parent's Race/Ethnicity,< 5 Years,1-3 Years,75%,Mother,Graduated High School,35 Years,SOME support,NOT working and NEEDS public assistance to afford necessities,Child Witnessed Domestic Violence in the Home (Parent was the victim),0%,African American or Black,Child's Age,Child's Amount of Time in Foster Care,Parent's Completion of Required Services,Parent,Parent's Education,Parent's Age,Parent's Level of Family / Community Support,Parent's Financial Situation,Reason Child Entered Foster Care,Parent's Attendance at Visits with Child,Parent's Race/Ethnicity,5-9 Years,3-5 Years,50%,Mother,Some College,25 Years,SOME support,NOT working and NEEDS public assistance to afford necessities,Child Witnessed Domestic Violence in the Home (Parent was the victim),50%,Hispanic or Latino
1010,Parent's Education,Parent,Parent's Completion of Required Services,Parent's Attendance at Visits with Child,Parent's Age,Parent's Level of Family / Community Support,Reason Child Entered Foster Care,Child's Age,Parent's Financial Situation,Child's Amount of Time in Foster Care,Parent's Race/Ethnicity,Some High School,Father,100%,0%,45 Years,SOME support,Parental Substance Misuse (drugs/alcohol),5-9 Years,Working and NEEDS public assistance to afford necessities,< 1 Year,Asian,Parent's Education,Parent,Parent's Completion of Required Services,Parent's Attendance at Visits with Child,Parent's Age,Parent's Level of Family / Community Support,Reason Child Entered Foster Care,Child's Age,Parent's Financial Situation,Child's Amount of Time in Foster Care,Parent's Race/Ethnicity,Some College,Father,25%,75%,25 Years,SOME support,Child Witnessed Domestic Violence in the Home (Parent was the victim),5-9 Years,Working and DOES NOT NEED public assistance to afford necessities,1-3 Years,Non-Hispanic White
1011,Parent's Completion of Required Services,Parent,Child's Age,Child's Amount of Time in Foster Care,Parent's Age,Parent's Race/Ethnicity,Parent's Attendance at Visits with Child,Parent's Education,Parent's Level of Family / Community Support,Parent's Financial Situation,Reason Child Entered Foster Care,0%,Father,15-17 Years,< 1 Year,35 Years,African American or Black,25%,Graduated College,A LOT of support,NOT working and DOES NOT NEED public assistance to afford necessities,Child Witnessed Domestic Violence in the Home (Parent was the victim),Parent's Completion of Required Services,Parent,Child's Age,Child's Amount of Time in Foster Care,Parent's Age,Parent's Race/Ethnicity,Parent's Attendance at Visits with Child,Parent's Education,Parent's Level of Family / Community Support,Parent's Financial Situation,Reason Child Entered Foster Care,75%,Mother,5-9 Years,< 1 Year,35 Years,Non-Hispanic White,50%,Some College,NO support,NOT working and DOES NOT NEED public assistance to afford necessities,"Inadequate Food, Shelter, or Clothing"
1012,Parent's Financial Situation,Parent's Completion of Required Services,Child's Age,Parent's Level of Family / Community Support,Parent's Age,Parent's Attendance at Visits with Child,Reason Child Entered Foster Care,Parent's Race/Ethnicity,Child's Amount of Time in Foster Care,Parent's Education,Parent,NOT working and NEEDS public assistance to afford necessities,25%,15-17 Years,A LOT of support,55 Years,25%,Inadequate Supervision,Asian,< 1 Year,Graduated College,Father,Parent's Financial Situation,Parent's Completion of Required Services,Child's Age,Parent's Level of Family / Community Support,Parent's Age,Parent's Attendance at Visits with Child,Reason Child Entered Foster Care,Parent's Race/Ethnicity,Child's Amount of Time in Foster Care,Parent's Education,Parent,Working and NEEDS public assistance to afford necessities,50%,5-9 Years,NO support,45 Years,50%,Inadequate Supervision,Hispanic or Latino,3-5 Years,Some High School,Mother
1013,Parent's Education,Parent's Race/Ethnicity,Parent's Attendance at Visits with Child,Parent's Financial Situation,Parent's Level of Family / Community Support,Parent's Completion of Required Services,Parent's Age,Reason Child Entered Foster Care,Child's Age,Parent,Child's Amount of Time in Foster Care,Graduated College,Native American,25%,Working and NEEDS public assistance to afford necessities,SOME support,100%,25 Years,"Inadequate Food, Shelter, or Clothing",5-9 Years,Father,3-5 Years,Parent's Education,Parent's Race/Ethnicity,Parent's Attendance at Visits with Child,Parent's Financial Situation,Parent's Level of Family / Community Support,Parent's Completion of Required Services,Parent's Age,Reason Child Entered Foster Care,Child's Age,Parent,Child's Amount of Time in Foster Care,Some High School,Non-Hispanic White,75%,Working and NEEDS public assistance to afford necessities,A LOT of support,75%,35 Years,Parental Substance Misuse (drugs/alcohol),15-17 Years,Father,1-3 Years
1014,Parent's Race/Ethnicity,Parent's Education,Parent's Level of Family / Community Support,Parent's Financial Situation,Reason Child Entered Foster Care,Parent's Completion of Required Services,Parent's Attendance at Visits with Child,Parent's Age,Child's Age,Child's Amount of Time in Foster Care,Parent,African American or Black,Some College,SOME support,Working and NEEDS public assistance to afford necessities,Inadequate Supervision,0%,0%,55 Years,5-9 Years,1-3 Years,Father,Parent's Race/Ethnicity,Parent's Education,Parent's Level of Family / Community Support,Parent's Financial Situation,Reason Child Entered Foster Care,Parent's Completion of Required Services,Parent's Attendance at Visits with Child,Parent's Age,Child's Age,Child's Amount of Time in Foster Care,Parent,African American or Black,Some High School,NO support,NOT working and NEEDS public assistance to afford necessities,Inadequate Supervision,100%,100%,25 Years,< 5 Years,> 5 Years,Father
1015,Parent's Level of Family / Community Support,Reason Child Entered Foster Care,Parent's Financial Situation,Parent's Race/Ethnicity,Parent's Completion of Required Services,Parent,Parent's Education,Child's Age,Child's Amount of Time in Foster Care,Parent's Attendance at Visits with Child,Parent's Age,NO support,Parental Substance Misuse (drugs/alcohol),Working and NEEDS public assistance to afford necessities,Non-Hispanic White,25%,Mother,Graduated High School,15-17 Years,< 1 Year,100%,55 Years,Parent's Level of Family / Community Support,Reason Child Entered Foster Care,Parent's Financial Situation,Parent's Race/Ethnicity,Parent's Completion of Required Services,Parent,Parent's Education,Child's Age,Child's Amount of Time in Foster Care,Parent's Attendance at Visits with Child,Parent's Age,NO support,"Inadequate Food, Shelter, or Clothing",Working and NEEDS public assistance to afford necessities,Hispanic or Latino,100%,Father,Some College,5-9 Years,> 5 Years,75%,25 Years
1016,Parent's Race/Ethnicity,Parent's Education,Parent's Attendance at Visits with Child,Parent's Level of Family / Community Support,Parent,Child's Amount of Time in Foster Care,Child's Age,Parent's Completion of Required Services,Reason Child Entered Foster Care,Parent's Financial Situation,Parent's Age,African American or Black,Some College,25%,NO support,Father,> 5 Years,< 5 Years,25%,Inadequate Supervision,Working and NEEDS public assistance to afford necessities,55 Years,Parent's Race/Ethnicity,Parent's Education,Parent's Attendance at Visits with Child,Parent's Level of Family / Community Support,Parent,Child's Amount of Time in Foster Care,Child's Age,Parent's Completion of Required Services,Reason Child Entered Foster Care,Parent's Financial Situation,Parent's Age,Non-Hispanic White,Graduated High School,100%,A LOT of support,Father,< 1 Year,5-9 Years,100%,Inadequate Supervision,NOT working and NEEDS public assistance to afford necessities,45 Years
1017,Parent's Race/Ethnicity,Child's Age,Parent's Age,Reason Child Entered Foster Care,Parent's Attendance at Visits with Child,Parent's Education,Parent,Parent's Completion of Required Services,Parent's Financial Situation,Parent's Level of Family / Community Support,Child's Amount of Time in Foster Care,African American or Black,10-14 Years,55 Years,Parental Substance Misuse (drugs/alcohol),75%,Some College,Father,0%,Working and DOES NOT NEED public assistance to afford necessities,A LOT of support,< 1 Year,Parent's Race/Ethnicity,Child's Age,Parent's Age,Reason Child Entered Foster Care,Parent's Attendance at Visits with Child,Parent's Education,Parent,Parent's Completion of Required Services,Parent's Financial Situation,Parent's Level of Family / Community Support,Child's Amount of Time in Foster Care,Non-Hispanic White,15-17 Years,55 Years,Inadequate Supervision,50%,Graduated High School,Father,75%,Working and NEEDS public assistance to afford necessities,SOME support,> 5 Years
1018,Child's Age,Parent's Race/Ethnicity,Reason Child Entered Foster Care,Child's Amount of Time in Foster Care,Parent's Education,Parent's Level of Family / Community Support,Parent's Attendance at Visits with Child,Parent's Age,Parent,Parent's Financial Situation,Parent's Completion of Required Services,< 5 Years,Hispanic or Latino,"Environment Injurious (e.g., home was overcrowded, unclean, infested with pests or rodents, lacks a stove or furniture, or allows ready access to unsafe toxic chemicals)",3-5 Years,Some High School,NO support,100%,45 Years,Mother,NOT working and DOES NOT NEED public assistance to afford necessities,50%,Child's Age,Parent's Race/Ethnicity,Reason Child Entered Foster Care,Child's Amount of Time in Foster Care,Parent's Education,Parent's Level of Family / Community Support,Parent's Attendance at Visits with Child,Parent's Age,Parent,Parent's Financial Situation,Parent's Completion of Required Services,< 5 Years,Native American,Parental Substance Misuse (drugs/alcohol),3-5 Years,Some College,NO support,75%,55 Years,Father,Working and NEEDS public assistance to afford necessities,50%
1019,Parent's Completion of Required Services,Parent's Financial Situation,Parent's Level of Family / Community Support,Child's Amount of Time in Foster Care,Parent,Reason Child Entered Foster Care,Parent's Education,Parent's Attendance at Visits with Child,Parent's Age,Child's Age,Parent's Race/Ethnicity,50%,Working and NEEDS public assistance to afford necessities,NO support,1-3 Years,Mother,"Inadequate Food, Shelter, or Clothing",Graduated High School,100%,45 Years,10-14 Years,Native American,Parent's Completion of Required Services,Parent's Financial Situation,Parent's Level of Family / Community Support,Child's Amount of Time in Foster Care,Parent,Reason Child Entered Foster Care,Parent's Education,Parent's Attendance at Visits with Child,Parent's Age,Child's Age,Parent's Race/Ethnicity,25%,Working and DOES NOT NEED public assistance to afford necessities,SOME support,3-5 Years,Mother,Inadequate Supervision,Graduated High School,75%,35 Years,5-9 Years,African American or Black
1020,Parent's Age,Parent's Race/Ethnicity,Parent's Education,Parent,Reason Child Entered Foster Care,Child's Amount of Time in Foster Care,Parent's Completion of Required Services,Child's Age,Parent's Attendance at Visits with Child,Parent's Financial Situation,Parent's Level of Family / Community Support,35 Years,Hispanic or Latino,Some High School,Father,"Environment Injurious (e.g., home was overcrowded, unclean, infested with pests or rodents, lacks a stove or furniture, or allows ready access to unsafe toxic chemicals)",1-3 Years,50%,< 5 Years,25%,NOT working and NEEDS public assistance to afford necessities,A LOT of support,Parent's Age,Parent's Race/Ethnicity,Parent's Education,Parent,Reason Child Entered Foster Care,Child's Amount of Time in Foster Care,Parent's Completion of Required Services,Child's Age,Parent's Attendance at Visits with Child,Parent's Financial Situation,Parent's Level of Family / Community Support,35 Years,African American or Black,Some College,Mother,Inadequate Supervision,> 5 Years,50%,15-17 Years,100%,NOT working and NEEDS public assistance to afford necessities,A LOT of support
1021,Parent's Attendance at Visits with Child,Child's Amount of Time in Foster Care,Reason Child Entered Foster Care,Child's Age,Parent,Parent's Completion of Required Services,Parent's Financial Situation,Parent's Education,Parent's Age,Parent's Level of Family / Community Support,Parent's Race/Ethnicity,75%,1-3 Years,"Inadequate Food, Shelter, or Clothing",15-17 Years,Father,25%,Working and NEEDS public assistance to afford necessities,Graduated High School,35 Years,A LOT of support,Native American,Parent's Attendance at Visits with Child,Child's Amount of Time in Foster Care,Reason Child Entered Foster Care,Child's Age,Parent,Parent's Completion of Required Services,Parent's Financial Situation,Parent's Education,Parent's Age,Parent's Level of Family / Community Support,Parent's Race/Ethnicity,50%,< 1 Year,Child Witnessed Domestic Violence in the Home (Parent was the victim),< 5 Years,Father,0%,NOT working and NEEDS public assistance to afford necessities,Some High School,35 Years,A LOT of support,Asian
1022,Parent's Race/Ethnicity,Reason Child Entered Foster Care,Parent's Education,Parent's Attendance at Visits with Child,Child's Age,Parent's Completion of Required Services,Child's Amount of Time in Foster Care,Parent's Financial Situation,Parent's Level of Family / Community Support,Parent,Parent's Age,Native American,"Inadequate Food, Shelter, or Clothing",Graduated College,75%,5-9 Years,100%,< 1 Year,Working and DOES NOT NEED public assistance to afford necessities,SOME support,Mother,55 Years,Parent's Race/Ethnicity,Reason Child Entered Foster Care,Parent's Education,Parent's Attendance at Visits with Child,Child's Age,Parent's Completion of Required Services,Child's Amount of Time in Foster Care,Parent's Financial Situation,Parent's Level of Family / Community Support,Parent,Parent's Age,Non-Hispanic White,Inadequate Supervision,Some College,100%,10-14 Years,50%,> 5 Years,Working and NEEDS public assistance to afford necessities,SOME support,Mother,25 Years
1023,Child's Age,Child's Amount of Time in Foster Care,Parent,Parent's Financial Situation,Parent's Age,Parent's Completion of Required Services,Parent's Education,Reason Child Entered Foster Care,Parent's Race/Ethnicity,Parent's Attendance at Visits with Child,Parent's Level of Family / Community Support,10-14 Years,3-5 Years,Father,Working and NEEDS public assistance to afford necessities,35 Years,75%,Some College,"Environment Injurious (e.g., home was overcrowded, unclean, infested with pests or rodents, lacks a stove or furniture, or allows ready access to unsafe toxic chemicals)",African American or Black,0%,NO support,Child's Age,Child's Amount of Time in Foster Care,Parent,Parent's Financial Situation,Parent's Age,Parent's Completion of Required Services,Parent's Education,Reason Child Entered Foster Care,Parent's Race/Ethnicity,Parent's Attendance at Visits with Child,Parent's Level of Family / Community Support,10-14 Years,1-3 Years,Father,NOT working and NEEDS public assistance to afford necessities,45 Years,100%,Some College,Inadequate Supervision,Asian,75%,A LOT of support
1024,Parent's Financial Situation,Parent's Age,Child's Amount of Time in Foster Care,Parent's Completion of Required Services,Child's Age,Reason Child Entered Foster Care,Parent,Parent's Level of Family / Community Support,Parent's Education,Parent's Attendance at Visits with Child,Parent's Race/Ethnicity,NOT working and DOES NOT NEED public assistance to afford necessities,25 Years,1-3 Years,0%,15-17 Years,"Environment Injurious (e.g., home was overcrowded, unclean, infested with pests or rodents, lacks a stove or furniture, or allows ready access to unsafe toxic chemicals)",Mother,A LOT of support,Some College,50%,Hispanic or Latino,Parent's Financial Situation,Parent's Age,Child's Amount of Time in Foster Care,Parent's Completion of Required Services,Child's Age,Reason Child Entered Foster Care,Parent,Parent's Level of Family / Community Support,Parent's Education,Parent's Attendance at Visits with Child,Parent's Race/Ethnicity,Working and DOES NOT NEED public assistance to afford necessities,35 Years,3-5 Years,25%,15-17 Years,Inadequate Supervision,Mother,NO support,Some College,100%,Asian
